id,created_at,channel_code,channel_name,last_used_prefix,bank_account
1,2025-10-01 02:26:29.863097+00,FBTR,FBTR,FBTR2510,TR (1) 068-8-53955-2
2,2025-10-01 02:26:29.863097+00,SPTR,SPTR,SPTR2510,TR (1) 068-8-53955-2
3,2025-10-01 09:06:31+00,TTTR,TTTR,TTTR2510,TR (1) 068-8-53955-2
4,2025-10-01 09:34:44+00,PUMP,PUMP,PUMP2510,ODF (2) 167-8-27895-1
5,2025-10-09 05:50:37+00,PGTR,PGTR,PGTR2510,TR (1) 068-8-53955-2
6,2025-10-14 05:34:54+00,LZTR,LZTR,LZTR2510,TR (1) 068-8-53955-2
7,2025-10-14 05:35:51+00,FSPTR,FSPTR,FSPTR2510,TR (1) 068-8-53955-2
8,2025-10-14 05:36:28+00,OATR,OATR,OATR2510,TR (1) 068-8-53955-2
9,2025-10-14 05:37:00+00,SHOP,SHOP,SHOP2510,TR (2) 167-8-42973-9
10,2025-10-14 05:37:30+00,WY,WY,WY2510,ODF (1) 115-8-98581-7
11,2025-11-12 04:14:43+00,CLAIM,CLAIM,,
12,2026-01-08 01:38:43+00,INFU,INFU,INFU2510,
13,2026-01-14 06:11:07+00,PN,PN,PN2510,TR (2) 167-8-42973-9
